barrio,Air_Quality_Score,Complaints_Score,Noise_Score,Services_Score,Mobility_Score,UQI
la raiosa,30.216470071232493,62.47892074198988,23.529411764705866,25.92592592592593,16.666666666666668,32.44
safranar,35.657478911607996,68.8026981450253,50.0,14.814814814814813,11.437908496732026,37.35
sant llorens,46.82885137284718,81.70320404721754,50.0,27.77777777777778,19.607843137254903,46.54
en corts,30.216470071232493,65.59865092748736,50.0,16.666666666666664,7.516339869281047,35.13
malilla,30.216470071232493,16.526138279932557,42.156862745098046,37.03703703703704,45.751633986928105,33.56
jaume roig,46.82885137284718,85.1602023608769,23.529411764705866,7.4074074074074066,1.6339869281045756,35.17
benimaclet,46.82885137284718,38.279932546374376,50.0,79.62962962962963,24.183006535947715,48.92
ciutat universitaria,46.82885137284718,90.97807757166947,50.0,33.333333333333336,39.54248366013072,52.5
benicalap,41.28065879331086,1.1102230246251565e-14,23.13725490196077,68.51851851851852,60.130718954248366,37.67
sant antoni,46.82885137284718,85.91905564924114,50.0,31.481481481481477,1.6339869281045756,45.43
mestalla,46.82885137284718,46.711635750421586,97.05882352941177,37.03703703703704,35.947712418300654,53.26
albors,50.77154301360144,70.82630691399663,50.0,24.074074074074073,21.24183006535948,44.86
l'amistat,59.256523693034204,80.60708263069141,50.0,29.629629629629626,10.130718954248366,48.38
betero,59.256523693034204,81.36593591905566,50.0,16.666666666666664,0.0,44.42
cabanyal-canyamelar,59.256523693034204,44.60370994940979,50.0,88.88888888888889,59.80392156862745,60.48
la carrasca,59.256523693034204,87.2681281618887,28.23529411764707,70.37037037037037,100.0,66.99
la malva-rosa,59.256523693034204,32.04047217537943,50.0,33.333333333333336,24.50980392156863,41.57
la vega baixa,59.256523693034204,80.26981450252951,50.0,11.11111111111111,7.8431372549019605,44.27
aiora,50.77154301360144,52.529510961214164,50.0,37.03703703703704,42.15686274509804,46.93
ciutat jardi,59.256523693034204,50.67453625632379,50.0,35.18518518518518,21.24183006535948,45.17
natzaret,50.77154301360144,85.32883642495784,50.0,25.92592592592593,4.901960784313726,45.68
la punta,50.77154301360144,85.49747048903879,70.58823529411764,5.555555555555555,1.6339869281045756,45.27
el grau,50.77154301360144,68.88701517706576,50.0,31.481481481481477,12.745098039215689,44.68
russafa,30.216470071232493,12.310286677908945,77.84313725490198,57.407407407407405,40.52287581699346,43.14
la gran via,31.406551678620033,74.03035413153458,50.0,53.70370370370371,33.006535947712415,48.35
montolivet,30.216470071232493,53.709949409780776,32.35294117647059,38.888888888888886,27.12418300653595,36.61
la fontsanta,41.28065879331086,93.59190556492412,50.0,27.77777777777778,14.052287581699346,46.7
vara de quart,35.657478911607996,82.29342327150084,23.529411764705866,18.51851851851852,17.97385620915033,36.48
patraix,35.657478911607996,24.70489038785836,50.0,55.55555555555556,9.803921568627452,36.44
tres forques,35.657478911607996,62.05733558178752,50.0,33.333333333333336,9.803921568627452,39.46
nou moles,41.28065879331086,40.21922428330523,50.0,64.81481481481481,42.81045751633987,47.75
soternes,41.28065879331086,91.56829679595279,50.0,14.814814814814813,0.0,41.6
la llum,41.28065879331086,88.02698145025295,50.0,5.555555555555555,1.6339869281045756,39.28
sant pau,41.28065879331086,58.68465430016864,29.41176470588236,51.85185185185185,61.43790849673202,47.53
la petxina,31.406551678620033,38.02698145025296,50.0,53.70370370370371,11.764705882352944,37.96
campanar,41.28065879331086,55.81787521079258,23.529411764705866,42.592592592592595,42.48366013071896,41.08
les tendetes,31.406551678620033,81.45025295109612,50.0,16.666666666666664,1.6339869281045756,37.72
cami real,35.657478911607996,83.89544688026982,50.0,20.37037037037037,6.535947712418302,40.75
favara,35.657478911607996,89.20741989881957,50.0,1.8518518518518516,6.535947712418302,38.11
sant isidre,35.657478911607996,82.1247892074199,50.0,31.481481481481477,16.33986928104575,44.09
l'hort de senabre,35.657478911607996,72.51264755480608,50.0,29.629629629629626,7.18954248366013,40.42
